long,lat,mag,X_mercator,Y_mercator
-178,-63,-254.64,-10550896.159148507,-4845643.975356215
-178,-62,-229.75,-10550896.159148507,-4717260.257635295
-178,-61,-214.26,-10550896.159148507,-4593023.714338441
-178,-60,-202.57,-10550896.159148507,-4472639.239957092
-178,-59,-176.35,-10550896.159148507,-4355840.606456783
-178,-58,-127.91,-10550896.159148507,-4242386.787747845
-178,-57,-45.59,-10550896.159148507,-4132058.8497432065
-178,-56,84.92,-10550896.159148507,-4024657.30463745
-178,-55,253.95,-10550896.159148507,-3919999.8486208925
-178,-54,414.63,-10550896.159148507,-3817919.4181811535
-178,-53,511.91,-10550896.159148507,-3718262.5125877024
-178,-52,505.28,-10550896.159148507,-3620887.739941865
-178,-51,438.6,-10550896.159148507,-3525664.55192683
-178,-50,368.03,-10550896.159148507,-3432472.1385733904
-178,-49,328.96,-10550896.159148507,-3341198.4593167556
-178,-48,317.15,-10550896.159148507,-3251739.3906227383
-178,-47,300.21,-10550896.159148507,-3163997.9737107884
-178,-46,224.9,-10550896.159148507,-3077883.7485526614
-178,-45,66.46,-10550896.159148507,-2993312.1624999014
-178,-44,-62.59,-10550896.159148507,-2910204.0436853105
-178,-43,-84.17,-10550896.159148507,-2828485.1308270334
-178,-42,-104.63,-10550896.159148507,-2748085.652297438
-178,-41,-187.49,-10550896.159148507,-2668939.9483489143
-178,-40,-255.71,-10550896.159148507,-2590986.131252102
-178,-39,-268.17,-10550896.159148507,-2514165.778828651
-178,-38,-226.66,-10550896.159148507,-2438423.6574741653
-178,-37,-159.8,-10550896.159148507,-2363707.4712870806
-178,-36,-97.67,-10550896.159148507,-2289967.6343614184
-178,-35,-52.89,-10550896.159148507,-2217157.0636785803
-178,-34,-27.01,-10550896.159148507,-2145230.9903561836
-178,-33,-16.24,-10550896.159148507,-2074146.7872889389
-178,-32,-9.23,-10550896.159148507,-2003863.8114550377
-178,-31,5.21,-10550896.159148507,-1934343.2593672343
-178,-30,22.4,-10550896.159148507,-1865548.0343258735
-178,-29,34.1,-10550896.159148507,-1797442.6242855263
-178,-28,45.92,-10550896.159148507,-1729992.9892811559
-178,-27,61.97,-10550896.159148507,-1663166.4574767638
-178,-26,79.63,-10550896.159148507,-1596931.6290016281
-178,-25,86.48,-10550896.159148507,-1531258.2868287156
-178,-24,73.56,-10550896.159148507,-1466117.314028258
-178,-23,67.23,-10550896.159148507,-1401480.616798391
-178,-22,93.36,-10550896.159148507,-1337321.0527354085
-178,-21,121.35,-10550896.159148507,-1273612.363859635
-178,-20,111.6,-10550896.159148507,-1210329.11396013
-178,-19,60.1,-10550896.159148507,-1147446.6298631658
-178,-18,-17.13,-10550896.159148507,-1084940.94626637
